year,position,num_women,seats,percent_women,percent_change_from_previous_year
1917,U.S. Representative,1,435,0.22988505747126436,
1918,U.S. Representative,1,435,0.22988505747126436,0.0
1919,U.S. Representative,1,435,0.22988505747126436,0.0
1921,U.S. Representative,1,435,0.22988505747126436,0.0
1922,U.S. Representative,2,435,0.45977011494252873,1.0
1922,U.S. Senator,1,100,1.0,
1923,U.S. Representative,3,435,0.6896551724137931,0.5
1924,U.S. Representative,1,435,0.22988505747126436,-0.6666666666666667
1925,U.S. Representative,4,435,0.9195402298850575,3.0
1926,U.S. Representative,3,435,0.6896551724137931,-0.25
1927,U.S. Representative,4,435,0.9195402298850575,0.33333333333333326
1928,U.S. Representative,4,435,0.9195402298850575,0.0
1929,U.S. Representative,8,435,1.839080459770115,1.0
1930,U.S. Representative,9,435,2.0689655172413794,0.125
1931,U.S. Representative,9,435,2.0689655172413794,0.0
1931,U.S. Senator,1,100,1.0,0.0
1932,U.S. Representative,7,435,1.6091954022988506,-0.2222222222222222
1932,U.S. Senator,1,100,1.0,0.0
1933,U.S. Representative,11,435,2.528735632183908,0.5714285714285714
1933,U.S. Senator,1,100,1.0,0.0
1934,U.S. Representative,7,435,1.6091954022988506,-0.36363636363636365
1934,U.S. Senator,1,100,1.0,0.0
1935,U.S. Representative,6,435,1.3793103448275863,-0.1428571428571429
1935,U.S. Senator,1,100,1.0,0.0
1936,U.S. Representative,6,435,1.3793103448275863,0.0
1936,U.S. Senator,2,100,2.0,1.0
1937,U.S. Representative,5,435,1.1494252873563218,-0.16666666666666663
1937,U.S. Senator,2,100,2.0,0.0
1938,U.S. Representative,6,435,1.3793103448275863,0.19999999999999996
1938,U.S. Senator,3,100,3.0,0.5
1939,U.S. Representative,5,435,1.1494252873563218,-0.16666666666666663
1939,U.S. Senator,1,100,1.0,-0.6666666666666667
1940,U.S. Representative,8,435,1.839080459770115,0.6000000000000001
1940,U.S. Senator,1,100,1.0,0.0
1941,U.S. Representative,8,435,1.839080459770115,0.0
1941,U.S. Senator,1,100,1.0,0.0
1942,U.S. Representative,9,435,2.0689655172413794,0.125
1942,U.S. Senator,1,100,1.0,0.0
1943,U.S. Representative,7,435,1.6091954022988506,-0.2222222222222222
1943,U.S. Senator,1,100,1.0,0.0
1944,U.S. Representative,8,435,1.839080459770115,0.1428571428571428
1944,U.S. Senator,1,100,1.0,0.0
1945,U.S. Representative,9,435,2.0689655172413794,0.125
1946,U.S. Representative,11,435,2.528735632183908,0.22222222222222232
1947,U.S. Representative,7,435,1.6091954022988506,-0.36363636363636365
1948,U.S. Representative,7,435,1.6091954022988506,0.0
1948,U.S. Senator,1,100,1.0,0.0
1949,U.S. Representative,9,435,2.0689655172413794,0.2857142857142858
