Name,Portrait,Country,Office,Mandate start,Mandate end,Term length,Head of state or government,Executive or non-executive
Khertek Anchimaa-Toka,,Tannu Tuva[f],Chairman of the Presidium of the Little Khural,6 April 1940,11 October 1944,"4 years, 188 days",Head of state,
Sirimavo Bandaranaike,,Ceylon/  Sri Lanka,Prime Minister,21 July 1960,27 March 1965,"4 years, 249 days",Head of government,Executive
Sirimavo Bandaranaike,,Ceylon/  Sri Lanka,Prime Minister,29 May 1970,23 July 1977,"7 years, 55 days",Head of government,Executive
Sirimavo Bandaranaike,,Ceylon/  Sri Lanka,Prime Minister,14 November 1994,9 August 2000,"5 years, 269 days",Head of government,
Indira Gandhi,,India,Prime Minister,24 January 1966,24 April 1977,"11 years, 90 days",Head of government,Executive
Indira Gandhi,,India,Prime Minister,15 January 1980,31 October 1984 (assassinated),"4 years, 290 days",Head of government,Executive
Golda Meir,,Israel,Prime Minister,17 March 1969,3 June 1974,"5 years, 78 days",Head of government,Executive
Isabel Perón,,Argentina,President,1 July 1974,24 March 1976,"1 year, 267 days",Head of state and government,Executive
Elisabeth Domitien,,Central African Republic,Prime Minister,2 January 1975,7 April 1976,"1 year, 96 days",Head of government,
Margaret Thatcher,,United Kingdom,Prime Minister,4 May 1979,28 November 1990,"11 years, 208 days",Head of government,Executive
Maria de Lourdes Pintasilgo,,Portugal,Prime Minister,1 August 1979,3 January 1980,155 days,Head of government,Executive
Lidia Gueiler Tejada,,Bolivia,President,16 November 1979,17 July 1980,244 days,Head of state,Executive
Eugenia Charles,,Dominica,Prime Minister,21 July 1980,14 June 1995,"14 years, 328 days",Head of government,Executive
Vigdís Finnbogadóttir,,Iceland,President,1 August 1980,1 August 1996,"16 years, 0 days",Head of state,
Gro Harlem Brundtland,,Norway,Prime Minister,4 February 1981,14 October 1981,252 days,Head of government,Executive
Gro Harlem Brundtland,,Norway,Prime Minister,9 May 1986,16 October 1989,"3 years, 160 days",Head of government,Executive
Gro Harlem Brundtland,,Norway,Prime Minister,3 November 1990,25 October 1996,"5 years, 357 days",Head of government,Executive
Soong Ching-ling,,China,Honorary President,16 May 1981,28 May 1981,12 days,Head of state,
Agatha Barbara,,Malta,President,15 February 1982,15 February 1987,"5 years, 0 days",Head of state,
Milka Planinc,,Yugoslavia,Prime Minister,16 May 1982,15 May 1986,"3 years, 364 days",Head of government,Executive
Corazon Aquino,,Philippines,President,25 February 1986,30 June 1992,"6 years, 126 days",Head of state and government,Executive
Stella Sigcau,,Transkei,Prime Minister,5 October 1987,30 December 1987,86 days,Head of government,Executive
Benazir Bhutto,,Pakistan,Prime Minister,2 December 1988,6 July 1990,"1 year, 216 days",Head of government,Executive
