region,2022_rank,country,regime_type,five_year_mean,year,democracy_index_score,percent_W
North America,12,Canada,Full democracy,9.072,2006,9.07,0.2077922077922078
North America,12,Canada,Full democracy,9.072,2006,9.07,0.2077922077922078
North America,12,Canada,Full democracy,9.072,2006,9.07,0.2077922077922078
North America,12,Canada,Full democracy,9.072,2006,9.07,0.2077922077922078
North America,12,Canada,Full democracy,9.072,2006,9.07,0.2131147540983606
North America,12,Canada,Full democracy,9.072,2006,9.07,0.2077922077922078
North America,12,Canada,Full democracy,9.072,2006,9.07,0.2131147540983606
North America,12,Canada,Full democracy,9.072,2006,9.07,0.2077922077922078
North America,12,Canada,Full democracy,9.072,2006,9.07,0.2131147540983606
North America,12,Canada,Full democracy,9.072,2006,9.07,0.2131147540983606
North America,12,Canada,Full democracy,9.072,2006,9.07,0.2077922077922078
North America,12,Canada,Full democracy,9.072,2006,9.07,0.2077922077922078
North America,12,Canada,Full democracy,9.072,2006,9.07,0.2131147540983606
North America,12,Canada,Full democracy,9.072,2006,9.07,0.2131147540983606
North America,12,Canada,Full democracy,9.072,2006,9.07,0.2077922077922078
Western Europe,20,Austria,Full democracy,8.202,2006,8.69,0.3224043715846995
Western Europe,20,Austria,Full democracy,8.202,2006,8.69,0.3224043715846995
Western Europe,20,Austria,Full democracy,8.202,2006,8.69,0.3278688524590163
Western Europe,20,Austria,Full democracy,8.202,2006,8.69,0.3278688524590163
Western Europe,20,Austria,Full democracy,8.202,2006,8.69,0.3278688524590163
Western Europe,20,Austria,Full democracy,8.202,2006,8.69,0.3224043715846995
Western Europe,20,Austria,Full democracy,8.202,2006,8.69,0.3278688524590163
Western Europe,37,Cyprus,Flawed democracy,7.51,2006,7.6,0.1428571428571428
Western Europe,37,Cyprus,Flawed democracy,7.51,2006,7.6,0.1428571428571428
Western Europe,37,Cyprus,Flawed democracy,7.51,2006,7.6,0.1428571428571428
Western Europe,37,Cyprus,Flawed democracy,7.51,2006,7.6,0.1428571428571428
Western Europe,37,Cyprus,Flawed democracy,7.51,2006,7.6,0.1428571428571428
