Name,Portrait,Country,Office,Mandate start,Mandate end,Term length,Head of state or government,Executive or non-executive
Khertek Anchimaa-Toka,,Tannu Tuva[f],Chairman of the Presidium of the Little Khural,6-Apr-40,11-Oct-44,"4 years, 188 days",Head of state,
Sirimavo Bandaranaike,,Ceylon/  Sri Lanka,Prime Minister,21-Jul-60,27-Mar-65,"4 years, 249 days",Head of government,Executive
Sirimavo Bandaranaike,,Ceylon/  Sri Lanka,Prime Minister,29-May-70,23-Jul-77,"7 years, 55 days",Head of government,Executive
Sirimavo Bandaranaike,,Ceylon/  Sri Lanka,Prime Minister,14-Nov-94,9-Aug-00,"5 years, 269 days",Head of government,
Indira Gandhi,,India,Prime Minister,24-Jan-66,24-Apr-77,"11 years, 90 days",Head of government,Executive
Indira Gandhi,,India,Prime Minister,15-Jan-80,31 October 1984 (assassinated),"4 years, 290 days",Head of government,Executive
Golda Meir,,Israel,Prime Minister,17-Mar-69,3-Jun-74,"5 years, 78 days",Head of government,Executive
Isabel Perón,,Argentina,President,1-Jul-74,24-Mar-76,"1 year, 267 days",Head of state and government,Executive
Elisabeth Domitien,,Central African Republic,Prime Minister,2-Jan-75,7-Apr-76,"1 year, 96 days",Head of government,
Margaret Thatcher,,United Kingdom,Prime Minister,4-May-79,28-Nov-90,"11 years, 208 days",Head of government,Executive
Maria de Lourdes Pintasilgo,,Portugal,Prime Minister,1-Aug-79,3-Jan-80,155 days,Head of government,Executive
Lidia Gueiler Tejada,,Bolivia,President,16-Nov-79,17-Jul-80,244 days,Head of state,Executive
Eugenia Charles,,Dominica,Prime Minister,21-Jul-80,14-Jun-95,"14 years, 328 days",Head of government,Executive
Vigdís Finnbogadóttir,,Iceland,President,1-Aug-80,1-Aug-96,"16 years, 0 days",Head of state,
Gro Harlem Brundtland,,Norway,Prime Minister,4-Feb-81,14-Oct-81,252 days,Head of government,Executive
Gro Harlem Brundtland,,Norway,Prime Minister,9-May-86,16-Oct-89,"3 years, 160 days",Head of government,Executive
Gro Harlem Brundtland,,Norway,Prime Minister,3-Nov-90,25-Oct-96,"5 years, 357 days",Head of government,Executive
Soong Ching-ling,,China,Honorary President,16-May-81,28-May-81,12 days,Head of state,
Agatha Barbara,,Malta,President,15-Feb-82,15-Feb-87,"5 years, 0 days",Head of state,
Milka Planinc,,Yugoslavia,Prime Minister,16-May-82,15-May-86,"3 years, 364 days",Head of government,Executive
Corazon Aquino,,Philippines,President,25-Feb-86,30-Jun-92,"6 years, 126 days",Head of state and government,Executive
Stella Sigcau,,Transkei,Prime Minister,5-Oct-87,30-Dec-87,86 days,Head of government,Executive
