COUNTRY,LOWER_OR_SINGLE_HOUSE_ELECTIONS,LOWER_OR_SINGLE_HOUSE_SEATS,LOWER_OR_SINGLE_HOUSE_WOMEN,LOWER_OR_SINGLE_HOUSE_PERCENT_W,UPPER_HOUSE_OR_SENATE_ELECTIONS,UPPER_HOUSE_OR_SENATE_SEATS,UPPER_HOUSE_OR_SENATE_WOMEN,UPPER_HOUSE_OR_SENATE_PERCENT_W
Sweden,1998-09-01,349.0,149.0,427.0,1970-01-01,0.0,0.0,0.0
Denmark,1998-03-01,179.0,67.0,374.0,1970-01-01,0.0,0.0,0.0
Finland,1999-03-01,200.0,73.0,365.0,1970-01-01,0.0,0.0,0.0
Netherlands,1998-05-01,150.0,54.0,360.0,1999-05-01,75.0,20.0,267.0
Norway,2001-09-01,165.0,59.0,358.0,1970-01-01,0.0,0.0,0.0
Iceland,1999-05-01,63.0,22.0,349.0,1970-01-01,0.0,0.0,0.0
Germany,1998-09-01,669.0,207.0,309.0,1970-01-01,69.0,17.0,246.0
New Zealand,1999-11-01,120.0,37.0,308.0,1970-01-01,0.0,0.0,0.0
Mozambique,1999-12-01,250.0,75.0,300.0,1970-01-01,0.0,0.0,0.0
South Africa,1999-06-01,399.0,119.0,298.0,1999-06-01,89.0,17.0,315.0
Spain,2000-03-01,350.0,99.0,283.0,2000-03-01,259.0,63.0,243.0
Cuba,1998-01-01,601.0,166.0,276.0,1970-01-01,0.0,0.0,0.0
Austria,1999-10-01,183.0,49.0,268.0,1970-01-01,64.0,13.0,203.0
Grenada,1999-01-01,15.0,4.0,267.0,1999-01-01,13.0,1.0,77.0
Argentina,1999-10-01,257.0,68.0,265.0,1998-12-01,72.0,2.0,28.0
Bulgaria,2001-06-01,240.0,63.0,262.0,1970-01-01,0.0,0.0,0.0
Turkmenistan,1999-12-01,50.0,13.0,260.0,1970-01-01,0.0,0.0,0.0
Viet Nam,1997-07-01,450.0,117.0,260.0,1970-01-01,0.0,0.0,0.0
Rwanda,1994-11-01,74.0,19.0,257.0,1970-01-01,0.0,0.0,0.0
Namibia,1999-11-01,72.0,18.0,250.0,1998-11-01,26.0,2.0,77.0
Australia,1998-10-01,148.0,35.0,236.0,1998-10-01,76.0,23.0,303.0
Seychelles,1998-03-01,34.0,8.0,235.0,1970-01-01,0.0,0.0,0.0
Belgium,1999-06-01,150.0,35.0,233.0,1999-06-01,71.0,20.0,282.0
Switzerland,1999-10-01,200.0,46.0,230.0,1999-10-01,46.0,9.0,196.0
United Rep. of Tanzania,2000-10-01,274.0,61.0,223.0,1970-01-01,0.0,0.0,0.0
Monaco,1998-02-01,18.0,4.0,222.0,1970-01-01,0.0,0.0,0.0
China,,2984.0,650.0,218.0,1970-01-01,0.0,0.0,0.0
Lao People's Democratic Rep.,1997-12-01,99.0,21.0,212.0,1970-01-01,0.0,0.0,0.0
Canada,2000-11-01,301.0,62.0,206.0,1970-01-01,105.0,34.0,324.0
Croatia,2000-01-01,151.0,31.0,205.0,1997-04-01,65.0,4.0,62.0
Dem. People's Rep. of Korea,1998-07-01,687.0,138.0,201.0,1970-01-01,0.0,0.0,0.0
Costa Rica,1998-02-01,57.0,11.0,193.0,1970-01-01,0.0,0.0,0.0
Dominica,2000-01-01,32.0,6.0,188.0,1970-01-01,0.0,0.0,0.0
Portugal,1999-10-01,230.0,43.0,187.0,1970-01-01,0.0,0.0,0.0
Guyana,1997-12-01,65.0,12.0,183.0,1970-01-01,0.0,0.0,0.0
Peru,2001-04-01,120.0,22.0,175.0,1970-01-01,0.0,0.0,0.0
United Kingdom,2001-06-01,659.0,118.0,179.0,1970-01-01,666.0,104.0,156.0
Estonia,1999-03-01,101.0,18.0,178.0,1970-01-01,0.0,0.0,0.0
Suriname,2000-05-01,51.0,9.0,176.0,1970-01-01,0.0,0.0,0.0
Botswana,1999-10-01,47.0,8.0,170.0,1970-01-01,0.0,0.0,0.0
Latvia,1998-10-01,100.0,17.0,170.0,1970-01-01,0.0,0.0,0.0
Luxembourg,1999-06-01,60.0,10.0,167.0,1970-01-01,0.0,0.0,0.0
San Marino,2001-06-01,60.0,10.0,167.0,1970-01-01,0.0,0.0,0.0
Senegal,2001-04-01,120.0,20.0,167.0,1970-01-01,0.0,0.0,0.0
Dominican Republic,1998-05-01,149.0,24.0,161.0,1998-05-01,30.0,2.0,67.0
Mexico,2000-07-01,500.0,80.0,160.0,2000-07-01,128.0,20.0,156.0
Angola,1992-09-01,220.0,34.0,155.0,1970-01-01,0.0,0.0,0.0
Bahamas,1997-03-01,40.0,6.0,150.0,1997-03-01,16.0,5.0,313.0
Czech Republic,1998-06-01,200.0,30.0,150.0,2000-11-01,81.0,10.0,123.0
Eritrea,1994-02-01,150.0,22.0,147.0,1970-01-01,0.0,0.0,0.0
Ecuador,1998-05-01,123.0,18.0,146.0,1970-01-01,0.0,0.0,0.0
Burundi,1993-06-01,118.0,17.0,144.0,1970-01-01,0.0,0.0,0.0
Andorra,2001-03-01,28.0,4.0,143.0,1970-01-01,0.0,0.0,0.0
Slovakia,1998-09-01,150.0,21.0,140.0,1970-01-01,0.0,0.0,0.0
United States of America,2000-11-01,435.0,61.0,140.0,2000-11-01,100.0,13.0,13.0
Israel,1999-05-01,120.0,16.0,133.0,1970-01-01,0.0,0.0,0.0
Jamaica,1997-12-01,60.0,8.0,133.0,1997-12-01,21.0,5.0,238.0
Saint Kitts and Nevis,2000-03-01,15.0,2.0,133.0,1970-01-01,0.0,0.0,0.0
Republic of Moldova,2001-02-01,101.0,13.0,129.0,1970-01-01,0.0,0.0,0.0
Tajikistan,2000-02-01,63.0,8.0,127.0,2000-03-01,34.0,4.0,118.0
Mali,1997-07-01,147.0,18.0,122.0,1970-01-01,0.0,0.0,0.0
Slovenia,2000-10-01,90.0,11.0,122.0,1970-01-01,0.0,0.0,0.0
Uruguay,1999-10-01,99.0,12.0,121.0,1999-10-01,31.0,3.0,97.0
Congo,1998-01-01,75.0,9.0,120.0,1970-01-01,0.0,0.0,0.0
Ireland,1997-06-01,166.0,20.0,120.0,1997-08-01,60.0,11.0,183.0
Colombia,1998-03-01,161.0,19.0,118.0,1998-03-01,102.0,13.0,127.0
Bolivia,1997-06-01,130.0,15.0,115.0,1997-06-01,27.0,1.0,37.0
Tunisia,1999-10-01,182.0,21.0,115.0,1970-01-01,0.0,0.0,0.0
Cape Verde,2001-01-01,72.0,8.0,111.0,1970-01-01,0.0,0.0,0.0
Saint Lucia,1997-05-01,18.0,2.0,111.0,1997-05-01,11.0,2.0,182.0
Trinidad and Tobago,2000-12-01,36.0,4.0,111.0,1995-11-01,31.0,10.0,323.0
France,1997-05-01,577.0,63.0,109.0,2001-09-01,321.0,35.0,109.0
Chile,1997-12-01,120.0,13.0,108.0,1997-12-01,48.0,2.0,42.0
Barbados,1999-01-01,28.0,3.0,107.0,1999-01-01,21.0,7.0,333.0
Cyprus,2001-05-01,56.0,6.0,107.0,1970-01-01,0.0,0.0,0.0
Romania,2000-11-01,345.0,37.0,107.0,2000-11-01,140.0,8.0,57.0
Lithuania,2000-10-01,141.0,15.0,106.0,1970-01-01,0.0,0.0,0.0
Azerbaijan,2000-11-01,124.0,13.0,105.0,1970-01-01,0.0,0.0,0.0
Mongolia,2000-07-01,76.0,8.0,105.0,1970-01-01,0.0,0.0,0.0
Kazakhstan,1999-10-01,77.0,8.0,104.0,1999-09-01,39.0,5.0,128.0
Malaysia,1999-11-01,193.0,20.0,104.0,1998-03-01,69.0,18.0,261.0
Syrian Arab Republic,1998-11-01,250.0,26.0,104.0,1970-01-01,0.0,0.0,0.0
Belarus,2000-10-01,97.0,10.0,103.0,2000-12-01,61.0,19.0,311.0
Zambia,1996-11-01,158.0,16.0,101.0,1970-01-01,0.0,0.0,0.0
Kyrgyzstan,2000-02-01,60.0,6.0,100.0,2000-02-01,45.0,1.0,22.0
Zimbabwe,2000-06-01,150.0,15.0,100.0,1970-01-01,0.0,0.0,0.0
Panama,1999-05-01,71.0,7.0,99.0,1970-01-01,0.0,0.0,0.0
Italy,2001-05-01,630.0,62.0,98.0,2001-05-01,326.0,25.0,77.0
Nicaragua,1996-10-01,93.0,9.0,97.0,1970-01-01,0.0,0.0,0.0
Sudan,2000-12-01,360.0,35.0,97.0,1970-01-01,0.0,0.0,0.0
