Rank,Country,Lower or single House,Lower or single House.1,Lower or single House.2,Lower or single House.3,Upper House or Senate,Upper House or Senate.1,Upper House or Senate.2,Upper House or Senate.3
Rank,Country,Elections,Seats*,Women,% W,Elections,Seats*,Women,% W
1,Rwanda,9 2008,80,45,56.3%,10 2003,26,9,34.6%
2,Sweden,9 2010,349,157,45.0%,---,---,---,---
3,South Africa 1,4 2009,400,178,44.5%,4 2009,54,16,29.6%
4,Cuba,1 2008,614,265,43.2%,---,---,---,---
5,Iceland,4 2009,63,27,42.9%,---,---,---,---
6,Netherlands,6 2010,150,61,40.7%,5 2007,75,26,34.7%
7,Finland,3 2007,200,80,40.0%,---,---,---,---
8,Norway,9 2009,169,67,39.6%,---,---,---,---
9,Belgium,6 2010,150,59,39.3%,6 2010,40,17,42.5%
10,Mozambique,10 2009,250,98,39.2%,---,---,---,---
11,Angola,9 2008,220,85,38.6%,---,---,---,---
"""",Costa Rica,2 2010,57,22,38.6%,---,---,---,---
12,Argentina,6 2009,257,99,38.5%,6 2009,71,25,35.2%
13,Denmark,11 2007,179,68,38.0%,---,---,---,---
14,Spain,3 2008,350,128,36.6%,3 2008,263,81,30.8%
15,Andorra,4 2009,28,10,35.7%,---,---,---,---
16,New Zealand,11 2008,122,41,33.6%,---,---,---,---
17,Nepal,4 2008,594,197,33.2%,---,---,---,---
18,Germany,9 2009,622,204,32.8%,N.A.,69,15,21.7%
19,The F.Y.R. of Macedonia,6 2008,120,39,32.5%,---,---,---,---
20,Ecuador,4 2009,124,40,32.3%,---,---,---,---
21,Burundi,7 2010,106,34,32.1%,7 2010,41,19,46.3%
22,Belarus,9 2008,110,35,31.8%,7 2008,58,19,32.8%
23,Uganda,2 2006,324,102,31.5%,---,---,---,---
24,United Republic of Tanzania,12 2005,323,99,30.7%,---,---,---,---
25,Guyana,8 2006,70,21,30.0%,---,---,---,---
26,Timor-Leste,6 2007,65,19,29.2%,---,---,---,---
27,Switzerland,10 2007,200,58,29.0%,10 2007,46,10,21.7%
28,Trinidad and Tobago,5 2010,42,12,28.6%,6 2010,31,8,25.8%
29,Austria,9 2008,183,51,27.9%,N.A.,61,18,29.5%
30,Ethiopia,5 2010,547,152,27.8%,5 2010,135,22,16.3%
31,Tunisia,10 2009,214,59,27.6%,8 2008,112,17,15.2%
32,Peru,4 2006,120,33,27.5%,---,---,---,---
33,Portugal,9 2009,230,63,27.4%,---,---,---,---
34,Mexico,7 2009,500,131,26.2%,7 2006,128,25,19.5%
35,Monaco,2 2008,23,6,26.1%,---,---,---,---
36,Viet Nam,5 2007,493,127,25.8%,---,---,---,---
37,Kyrgyzstan,12 2007,90,23,25.6%,---,---,---,---
"""",Sudan,4 2010,446,114,25.6%,5 2010,46,5,10.9%
38,Bolivia,12 2009,130,33,25.4%,12 2009,36,17,47.2%
39,Iraq,3 2010,325,82,25.2%,---,---,---,---
"""",Lao People's Democratic Republic,4 2006,115,29,25.2%,---,---,---,---
40,Australia,8 2010,150,37,24.7%,8 2010,76,?,?
41,Namibia,9 2009,78,19,24.4%,11 2004,26,7,26.9%
42,Lesotho,2 2007,120,29,24.2%,3 2007,33,6,18.2%
43,Liechtenstein,2 2009,25,6,24.0%,---,---,---,---
44,Republic of Moldova,7 2009,101,24,23.8%,---,---,---,---
45,Croatia,11 2007,153,36,23.5%,---,---,---,---
"""",Seychelles,5 2007,34,8,23.5%,---,---,---,---
46,Singapore,5 2006,94,22,23.4%,---,---,---,---
47,Estonia,3 2007,101,23,22.8%,---,---,---,---
48,Senegal,6 2007,150,34,22.7%,8 2007,100,40,40.0%
49,United Arab Emirates,12 2006,40,9,22.5%,---,---,---,---
50,Pakistan,2 2008,342,76,22.2%,3 2009,100,17,17.0%
51,Canada,10 2008,308,68,22.1%,N.A.,93,32,34.4%
"""",Mauritania,11 2006,95,21,22.1%,11 2009,56,8,14.3%
52,Czech Republic,5 2010,200,44,22.0%,10 2008,81,14,17.3%
"""",Eritrea,2 1994,150,33,22.0%,---,---,---,---
"""",Latvia,10 2006,100,22,22.0%,---,---,---,---
"""",United Kingdom,5 2010,650,143,22.0%,N.A.,733,147,20.1%
"""",Uzbekistan,12 2009,150,33,22.0%,1 2010,100,15,15.0%
53,Saint Vincent and the Grenadines,12 2005,23,5,21.7%,---,---,---,---
54,Serbia,5 2008,250,54,21.6%,---,---,---,---
55,Philippines,5 2010,229,49,21.4%,5 2010,23,3,13.0%
56,China,3 2008,2987,637,21.3%,---,---,---,---
"""",Italy,4 2008,630,134,21.3%,4 2008,322,59,18.3%
57,Cambodia,7 2008,123,26,21.1%,1 2006,61,9,14.8%
58,Bulgaria,7 2009,240,50,20.8%,---,---,---,---
"""",Dominican Republic,5 2010,183,38,20.8%,5 2010,32,3,9.4%
"""",Malawi,5 2009,192,40,20.8%,---,---,---,---
59,Nicaragua,11 2006,92,19,20.7%,---,---,---,---
60,Luxembourg,6 2009,60,12,20.0%,---,---,---,---
"""",Poland,10 2007,460,92,20.0%,10 2007,100,8,8.0%
61,Dominica,12 2009,26,5,19.2%,---,---,---,---
62,Lithuania,10 2008,141,27,19.1%,---,---,---,---
63,Bosnia and Herzegovina,10 2006,42,8,19.0%,3 2007,15,2,13.3%
"""",El Salvador,1 2009,84,16,19.0%,---,---,---,---
"""",Tajikistan,2 2010,63,12,19.0%,3 2010,34,5,14.7%
64,France,6 2007,577,109,18.9%,9 2008,343,75,21.9%
