Source: Inter-Parliamentary Union Open Data,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Date: 2023-02-19,,,,,,,,,
Ranking as of 1st December 2021,,,,,,,,,
,,,,,,,,,
Rank,Country,Lower or single House,,,,Upper chamber,,,
,,Elections,Seats*,Women,% W,Elections,Seats*,Women,% W
1,Rwanda,09.2018,80,49,61.3,09.2019,26,10,38.5
2,Cuba,03.2018,586,313,53.4,-,-,-,-
3,Nicaragua,11.2021,91,46,50.6,-,-,-,-
4,Mexico,06.2021,500,250,50,07.2018,128,63,49.2
“,United Arab Emirates,10.2019,40,20,50,-,-,-,-
6,New Zealand,10.2020,120,59,49.2,-,-,-,-
7,Iceland,09.2021,63,30,47.6,-,-,-,-
8,Sweden,09.2018,349,164,47,-,-,-,-
9,Grenada,03.2018,15,7,46.7,04.2018,13,2,15.4
10,South Africa,05.2019,395,184,46.6,05.2019,53,22,41.5
11,Andorra,04.2019,28,13,46.4,-,-,-,-
12,Bolivia (Plurinational State of),10.2020,130,60,46.2,10.2020,36,20,55.6
13,Finland,04.2019,200,92,46,-,-,-,-
14,Costa Rica,02.2018,57,26,45.6,-,-,-,-
15,Norway,09.2021,169,76,45,-,-,-,-
16,Argentina,11.2021,257,115,44.8,11.2021,72,31,43.1
17,Namibia,11.2019,104,46,44.2,12.2020,42,6,14.3
18,Spain,11.2019,350,152,43.4,11.2019,265,108,40.8
19,Senegal,07.2017,165,71,43,-,-,-,-
20,Ethiopia,06.2021,425,181,42.6,10.2021,144,44,30.6
21,Switzerland,10.2019,200,85,42.5,10.2019,46,13,28.3
22,Mozambique,10.2019,250,106,42.4,-,-,-,-
23,Belgium,05.2019,150,63,42,07.2019,60,27,45
24,North Macedonia,07.2020,120,50,41.7,-,-,-,-
25,Austria,09.2019,183,74,40.4,-,61,22,36.1
26,Belarus,11.2019,110,44,40,11.2019,60,15,25
“,Peru,04.2021,130,52,40,-,-,-,-
“,Portugal,10.2019,230,92,40,-,-,-,-
29,Denmark,06.2019,179,71,39.7,-,-,-,-
30,Republic of Moldova,07.2021,101,40,39.6,-,-,-,-
31,France,06.2017,577,228,39.5,09.2020,348,122,35.1
32,Ecuador,02.2021,137,54,39.4,-,-,-,-
33,Netherlands,03.2021,150,59,39.3,05.2019,75,29,38.7
34,Serbia,06.2020,250,98,39.2,-,-,-,-
35,Cabo Verde,04.2021,72,28,38.9,-,-,-,-
36,Timor-Leste,05.2018,65,25,38.5,-,-,-,-
37,Burundi,05.2020,123,47,38.2,07.2020,39,16,41
38,United Republic of Tanzania,10.2020,388,143,36.9,-,-,-,-
39,Albania,04.2021,140,50,35.7,-,-,-,-
“,Italy,03.2018,630,225,35.7,03.2018,320,110,34.4
41,Chile,11.2021,155,55,35.5,11.2021,50,12,24
42,Guyana,03.2020,65,23,35.4,-,-,-,-
43,Luxembourg,10.2018,60,21,35,-,-,-,-
44,Germany,09.2021,736,257,34.9,-,69,23,33.3
45,Dominica,12.2019,32,11,34.4,-,-,-,-
46,United Kingdom,12.2019,648,222,34.3,-,787,224,28.5
47,Cameroon,02.2020,180,61,33.9,03.2018,100,26,26
48,Uganda,01.2021,556,188,33.8,-,-,-,-
49,Armenia,06.2021,107,36,33.6,-,-,-,-
50,Monaco,02.2018,24,8,33.3,-,-,-,-
“,San Marino,12.2019,60,20,33.3,-,-,-,-
52,Nepal,11.2017,275,90,32.7,01.2020,58,22,37.9
“,Uzbekistan,12.2019,147,48,32.7,01.2020,100,23,23
54,South Sudan,05.2021,550,178,32.4,08.2021,84,27,32.1
55,Chad,09.2021,93,30,32.3,-,-,-,-
56,Zimbabwe,07.2018,270,86,31.9,07.2018,80,35,43.8
57,Australia,05.2019,151,47,31.1,05.2019,76,39,51.3
“,Croatia,07.2020,151,47,31.1,-,-,-,-
59,Canada,09.2021,338,103,30.5,-,92,45,48.9
60,Viet Nam,05.2021,499,151,30.3,-,-,-,-
61,Singapore,07.2020,104,31,29.8,-,-,-,-
62,Angola,08.2017,220,65,29.6,-,-,-,-
63,Suriname,05.2020,51,15,29.4,-,-,-,-
64,Latvia,10.2018,100,29,29,-,-,-,-
65,Iraq,10.2021,329,95,28.9,-,-,-,-
66,Jamaica,09.2020,63,18,28.6,09.2020,21,8,38.1
67,Israel,03.2021,120,34,28.3,-,-,-,-
“,Poland,10.2019,459,130,28.3,10.2019,100,24,24
69,Liechtenstein,02.2021,25,7,28,-,-,-,-
