Rank,Country,Lower or single House,Lower or single House.1,Lower or single House.2,Lower or single House.3,Upper House or Senate,Upper House or Senate.1,Upper House or Senate.2,Upper House or Senate.3
Rank,Country,Elections,Seats*,Women,% W,Elections,Seats*,Women,% W
1,Rwanda,9 2013,80,51,63.8%,9 2011,26,10,38.5%
2,Bolivia,10 2014,130,69,53.1%,10 2014,36,17,47.2%
3,Cuba,2 2013,612,299,48.9%,---,---,---,---
4,Seychelles,9 2011,32,14,43.8%,---,---,---,---
5,Sweden,9 2014,349,152,43.6%,---,---,---,---
6,Senegal,7 2012,150,64,42.7%,---,---,---,---
7,South Africa 1,5 2014,396,166,41.9%,5 2014,54,19,35.2%
8,Ecuador,2 2013,137,57,41.6%,---,---,---,---
9,Finland,4 2015,200,83,41.5%,---,---,---,---
10,Iceland,4 2013,63,26,41.3%,---,---,---,---
"""",Namibia,11 2014,104,43,41.3%,11 2010,26,6,23.1%
"""",Nicaragua,11 2011,92,38,41.3%,---,---,---,---
11,Spain,11 2011,350,144,41.1%,11 2011,266,90,33.8%
12,Mozambique,10 2014,250,99,39.6%,---,---,---,---
"""",Norway,9 2013,169,67,39.6%,---,---,---,---
13,Andorra,3 2015,28,11,39.3%,---,---,---,---
"""",Belgium,5 2014,150,59,39.3%,7 2014,60,30,50.0%
14,Timor-Leste,7 2012,65,25,38.5%,---,---,---,---
15,Denmark,9 2011,179,68,38.0%,---,---,---,---
"""",Mexico,7 2012,500,190,38.0%,7 2012,128,43,33.6%
16,Netherlands,9 2012,150,56,37.3%,5 2015,75,26,34.7%
17,Angola,8 2012,220,81,36.8%,---,---,---,---
18,Slovenia,7 2014,90,33,36.7%,11 2012,40,3,7.5%
19,Germany,9 2013,631,230,36.5%,N.A.,69,28,40.6%
20,Argentina,10 2013,257,93,36.2%,10 2013,72,28,38.9%
21,United Republic of Tanzania,10 2010,350,126,36.0%,---,---,---,---
22,Guyana,5 2015,37,13,35.1%,---,---,---,---
23,Uganda,2 2011,386,135,35.0%,---,---,---,---
24,Serbia,3 2014,250,85,34.0%,---,---,---,---
25,Costa Rica,2 2014,57,19,33.3%,---,---,---,---
"""",Grenada,2 2013,15,5,33.3%,3 2013,13,2,15.4%
"""",The F.Y.R. of Macedonia,4 2014,123,41,33.3%,---,---,---,---
26,El Salvador,3 2015,84,27,32.1%,---,---,---,---
27,Algeria,5 2012,462,146,31.6%,12 2012,144,10,6.9%
28,Zimbabwe,7 2013,270,85,31.5%,7 2013,80,38,47.5%
29,New Zealand,9 2014,121,38,31.4%,---,---,---,---
30,Portugal,6 2011,230,72,31.3%,---,---,---,---
"""",Tunisia,10 2014,217,68,31.3%,---,---,---,---
31,Cameroon,9 2013,180,56,31.1%,4 2013,100,20,20.0%
32,Italy,2 2013,630,195,31.0%,2 2013,321,91,28.3%
33,Austria,9 2013,183,56,30.6%,N.A.,61,18,29.5%
34,Burundi,7 2010,105,32,30.5%,7 2010,41,19,46.3%
"""",Sudan,4 2015,426,130,30.5%,6 2015,54,19,35.2%
"""",Switzerland,10 2011,200,61,30.5%,10 2011,46,9,19.6%
35,Nepal,11 2013,599,177,29.5%,---,---,---,---
