Source: Inter-Parliamentary Union Open Data,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Date: 2023-01-08,,,,,,,,,
Ranking as of 1st September 2021,,,,,,,,,
,,,,,,,,,
Rank,Country,Lower or single House,,,,Upper chamber,,,
,,Elections,Seats*,Women,% W,Elections,Seats*,Women,% W
1,Rwanda,09.2018,80,49,61.3,09.2019,26,10,38.5
2,Cuba,03.2018,586,313,53.4,-,-,-,-
3,Nicaragua,11.2016,91,46,50.6,-,-,-,-
4,Mexico,06.2021,500,250,50,07.2018,128,63,49.2
“,United Arab Emirates,10.2019,40,20,50,-,-,-,-
6,New Zealand,10.2020,120,59,49.2,-,-,-,-
7,Sweden,09.2018,349,164,47,-,-,-,-
8,Grenada,03.2018,15,7,46.7,04.2018,13,2,15.4
9,South Africa,05.2019,396,184,46.5,05.2019,53,22,41.5
10,Andorra,04.2019,28,13,46.4,-,-,-,-
11,Bolivia (Plurinational State of),10.2020,130,60,46.2,10.2020,36,20,55.6
12,Finland,04.2019,200,92,46,-,-,-,-
13,Costa Rica,02.2018,57,26,45.6,-,-,-,-
14,Norway,09.2017,169,75,44.4,-,-,-,-
15,Namibia,11.2019,104,46,44.2,12.2020,42,6,14.3
16,Spain,11.2019,350,154,44,11.2019,265,108,40.8
17,Senegal,07.2017,165,71,43,-,-,-,-
18,Belgium,05.2019,150,64,42.7,07.2019,60,27,45
19,Ethiopia,06.2021,425,181,42.6,10.2015,153,49,32
20,Argentina,10.2019,257,109,42.4,10.2019,72,29,40.3
“,Mozambique,10.2019,250,106,42.4,-,-,-,-
22,Switzerland,10.2019,200,84,42,10.2019,46,12,26.1
23,Austria,09.2019,183,74,40.4,-,61,22,36.1
24,Belarus,11.2019,110,44,40,11.2019,60,15,25
“,North Macedonia,07.2020,120,48,40,-,-,-,-
“,Peru,04.2021,130,52,40,-,-,-,-
“,Portugal,10.2019,230,92,40,-,-,-,-
28,Denmark,06.2019,179,71,39.7,-,-,-,-
“,Iceland,10.2017,63,25,39.7,-,-,-,-
30,Republic of Moldova,07.2021,101,40,39.6,-,-,-,-
31,France,06.2017,577,228,39.5,09.2020,348,121,34.8
32,Ecuador,02.2021,137,54,39.4,-,-,-,-
33,Netherlands,03.2021,150,59,39.3,05.2019,75,29,38.7
34,Serbia,06.2020,250,98,39.2,-,-,-,-
35,Cabo Verde,04.2021,72,28,38.9,-,-,-,-
36,Timor-Leste,05.2018,65,25,38.5,-,-,-,-
37,Burundi,05.2020,123,47,38.2,07.2020,39,16,41
38,United Republic of Tanzania,10.2020,388,143,36.9,-,-,-,-
39,Italy,03.2018,630,225,35.7,03.2018,320,110,34.4
40,Guyana,03.2020,65,23,35.4,-,-,-,-
41,Luxembourg,10.2018,60,21,35,-,-,-,-
42,Dominica,12.2019,32,11,34.4,-,-,-,-
43,United Kingdom,12.2019,650,222,34.2,-,790,223,28.2
44,Cameroon,02.2020,180,61,33.9,03.2018,100,26,26
45,South Sudan,05.2021,504,170,33.7,08.2021,84,27,32.1
